Age,Age_Showing,Normative_variability,CI_low,CI_high
41.5,41.5,0.011512,0.011367,0.011679
41.6,41.6,0.011524,0.011379,0.011692
41.7,41.7,0.011535,0.011391,0.011706
41.8,41.8,0.011547,0.011403,0.011719
41.9,41.9,0.011559,0.011415,0.011731
42,42,0.011571,0.011426,0.011743
42.1,42.1,0.011582,0.011438,0.011754
42.2,42.2,0.011594,0.01145,0.011765
42.3,42.3,0.011605,0.011462,0.011776
42.4,42.4,0.011617,0.011473,0.011789
42.5,42.5,0.011628,0.011485,0.011801
42.6,42.6,0.01164,0.011497,0.011812
42.7,42.7,0.011651,0.011508,0.011824
42.8,42.8,0.011662,0.01152,0.011834
42.9,42.9,0.011674,0.011531,0.011845
43,43,0.011685,0.011542,0.011857
43.1,43.1,0.011696,0.011553,0.011869
43.2,43.2,0.011707,0.011564,0.01188
43.3,43.3,0.011718,0.011575,0.011892
43.4,43.4,0.011729,0.011585,0.011904
43.5,43.5,0.01174,0.011596,0.011915
43.6,43.6,0.011751,0.011607,0.011926
43.7,43.7,0.011762,0.011618,0.011936
43.8,43.8,0.011773,0.011629,0.011947
43.9,43.9,0.011783,0.011641,0.011957
44,44,0.011794,0.011652,0.011968
44.1,44.1,0.011805,0.011663,0.011979
44.2,44.2,0.011815,0.011674,0.01199
44.3,44.3,0.011826,0.011684,0.012
44.4,44.4,0.011836,0.011695,0.012011
44.5,44.5,0.011847,0.011705,0.012021
44.6,44.6,0.011857,0.011715,0.012031
44.7,44.7,0.011867,0.011725,0.012041
44.8,44.8,0.011878,0.011735,0.012053
44.9,44.9,0.011888,0.011745,0.012064
45,45,0.011898,0.011756,0.012075
45.1,45.1,0.011908,0.011766,0.012085
45.2,45.2,0.011918,0.011775,0.012096
45.3,45.3,0.011928,0.011785,0.012107
45.4,45.4,0.011937,0.011795,0.012118
45.5,45.5,0.011947,0.011805,0.012127
45.6,45.6,0.011957,0.011814,0.012136
45.7,45.7,0.011967,0.011824,0.012146
45.8,45.8,0.011976,0.011833,0.012155
45.9,45.9,0.011986,0.011842,0.012165
46,46,0.011995,0.011852,0.012174
46.1,46.1,0.012004,0.011861,0.012184
46.2,46.2,0.012014,0.01187,0.012194
46.3,46.3,0.012023,0.011879,0.012203
46.4,46.4,0.012032,0.011888,0.012212
46.5,46.5,0.012041,0.011897,0.012222
46.6,46.6,0.01205,0.011906,0.012231
46.7,46.7,0.012059,0.011915,0.01224
46.8,46.8,0.012068,0.011924,0.012249
46.9,46.9,0.012076,0.011934,0.012258
47,47,0.012085,0.011943,0.012267
47.1,47.1,0.012094,0.011952,0.012276
47.2,47.2,0.012102,0.011961,0.012286
47.3,47.3,0.01211,0.01197,0.012294
47.4,47.4,0.012119,0.011978,0.012302
47.5,47.5,0.012127,0.011987,0.01231
47.6,47.6,0.012135,0.011995,0.012318
47.7,47.7,0.012143,0.012003,0.012327
47.8,47.8,0.012151,0.012011,0.012335
47.9,47.9,0.012159,0.012019,0.012343
48,48,0.012167,0.012027,0.012351
48.1,48.1,0.012175,0.012035,0.012358
48.2,48.2,0.012182,0.012042,0.012365
