Age,Age_Showing,Growth_Rate,CI_low,CI_high
36.7,36.7,0.019244,-0.0060128,0.048515
36.8,36.8,0.017819,-0.0072745,0.046973
36.9,36.9,0.016389,-0.0085467,0.045479
37,37,0.014956,-0.0098961,0.043943
37.1,37.1,0.013517,-0.011326,0.042447
37.2,37.2,0.012074,-0.0126,0.04095
37.3,37.3,0.010627,-0.013917,0.039345
37.4,37.4,0.0091755,-0.015207,0.037869
37.5,37.5,0.0077194,-0.016549,0.036356
37.6,37.6,0.0062589,-0.018007,0.034811
37.7,37.7,0.0047939,-0.019395,0.033191
37.8,37.8,0.0033245,-0.020759,0.031514
37.9,37.9,0.0018506,-0.022126,0.029834
38,38,0.00037238,-0.023494,0.028247
38.1,38.1,-0.0011103,-0.02499,0.026468
38.2,38.2,-0.0025974,-0.026439,0.024725
38.3,38.3,-0.004089,-0.027925,0.02307
38.4,38.4,-0.0055849,-0.029283,0.021552
38.5,38.5,-0.0070853,-0.030642,0.01994
38.6,38.6,-0.00859,-0.032165,0.018122
38.7,38.7,-0.010099,-0.033701,0.016524
38.8,38.8,-0.011613,-0.035244,0.014756
38.9,38.9,-0.013131,-0.036789,0.013137
39,39,-0.014653,-0.038308,0.011487
39.1,39.1,-0.01618,-0.039716,0.0097005
39.2,39.2,-0.017711,-0.041206,0.0079911
39.3,39.3,-0.019247,-0.042624,0.006284
39.4,39.4,-0.020787,-0.043848,0.0044213
39.5,39.5,-0.022331,-0.045356,0.0025505
39.6,39.6,-0.02388,-0.046657,0.00074367
39.7,39.7,-0.025433,-0.047837,-0.0010351
39.8,39.8,-0.02699,-0.049328,-0.0027143
39.9,39.9,-0.028552,-0.050826,-0.0043929
40,40,-0.030118,-0.052118,-0.0062787
40.1,40.1,-0.031689,-0.053317,-0.0081461
40.2,40.2,-0.033264,-0.054735,-0.0098
40.3,40.3,-0.034843,-0.05632,-0.011611
40.4,40.4,-0.036427,-0.058012,-0.013276
40.5,40.5,-0.038015,-0.059572,-0.014734
40.6,40.6,-0.039607,-0.061211,-0.016483
40.7,40.7,-0.041204,-0.062883,-0.018278
40.8,40.8,-0.042805,-0.064401,-0.020005
40.9,40.9,-0.04441,-0.065989,-0.02186
41,41,-0.04602,-0.067779,-0.023702
41.1,41.1,-0.047634,-0.069125,-0.025669
41.2,41.2,-0.049252,-0.07085,-0.027682
41.3,41.3,-0.050875,-0.072695,-0.02948
41.4,41.4,-0.052502,-0.074304,-0.031246
41.5,41.5,-0.054134,-0.075782,-0.032881
41.6,41.6,-0.055769,-0.077066,-0.034719
41.7,41.7,-0.057409,-0.078793,-0.036309
41.8,41.8,-0.059054,-0.080353,-0.038066
41.9,41.9,-0.060703,-0.082052,-0.040124
42,42,-0.062356,-0.083659,-0.041931
42.1,42.1,-0.064013,-0.08546,-0.044073
42.2,42.2,-0.065675,-0.087167,-0.045958
42.3,42.3,-0.067341,-0.088878,-0.047727
42.4,42.4,-0.069011,-0.090591,-0.049761
42.5,42.5,-0.070678,-0.092106,-0.05168
42.6,42.6,-0.072334,-0.093798,-0.053574
42.7,42.7,-0.073981,-0.095675,-0.055304
42.8,42.8,-0.075618,-0.097455,-0.05695
42.9,42.9,-0.077246,-0.099152,-0.058647
43,43,-0.078864,-0.10086,-0.060223
43.1,43.1,-0.080471,-0.10251,-0.061902
43.2,43.2,-0.08207,-0.10397,-0.063704
43.3,43.3,-0.083658,-0.10536,-0.065447
43.4,43.4,-0.085236,-0.10687,-0.06699
43.5,43.5,-0.086805,-0.10853,-0.068704
43.6,43.6,-0.088364,-0.11039,-0.070172
43.7,43.7,-0.089913,-0.11201,-0.071774
43.8,43.8,-0.091453,-0.11376,-0.073385
43.9,43.9,-0.092983,-0.11538,-0.074947
44,44,-0.094502,-0.11691,-0.076373
44.1,44.1,-0.096012,-0.11843,-0.077863
44.2,44.2,-0.097513,-0.1199,-0.079255
44.3,44.3,-0.099003,-0.12143,-0.080849
44.4,44.4,-0.10048,-0.12283,-0.082153
44.5,44.5,-0.10195,-0.1244,-0.08345
44.6,44.6,-0.10342,-0.12586,-0.084888
44.7,44.7,-0.10487,-0.12731,-0.08644
44.8,44.8,-0.10631,-0.12881,-0.088196
44.9,44.9,-0.10774,-0.13043,-0.089762
45,45,-0.10916,-0.13204,-0.09116
45.1,45.1,-0.11057,-0.13361,-0.092578
45.2,45.2,-0.11198,-0.13525,-0.093987
45.3,45.3,-0.11337,-0.13647,-0.095295
45.4,45.4,-0.11475,-0.13773,-0.096807
45.5,45.5,-0.11612,-0.13933,-0.098135
45.6,45.6,-0.11749,-0.14092,-0.099352
45.7,45.7,-0.11884,-0.14223,-0.10059
45.8,45.8,-0.12018,-0.14349,-0.10191
45.9,45.9,-0.12152,-0.14481,-0.10321
46,46,-0.12284,-0.14604,-0.10445
46.1,46.1,-0.12416,-0.14742,-0.10569
46.2,46.2,-0.12546,-0.14863,-0.10709
46.3,46.3,-0.12675,-0.14986,-0.10837
46.4,46.4,-0.12804,-0.15124,-0.10964
46.5,46.5,-0.12931,-0.15284,-0.11094
46.6,46.6,-0.13058,-0.15439,-0.11216
46.7,46.7,-0.13183,-0.15595,-0.11341
46.8,46.8,-0.13308,-0.15749,-0.11466
46.9,46.9,-0.13431,-0.15889,-0.1159
47,47,-0.13554,-0.1602,-0.11733
47.1,47.1,-0.13676,-0.16162,-0.11843
47.2,47.2,-0.13796,-0.16284,-0.11975
47.3,47.3,-0.13916,-0.16406,-0.12096
47.4,47.4,-0.14034,-0.16521,-0.12199
47.5,47.5,-0.14152,-0.16632,-0.12313
47.6,47.6,-0.14269,-0.16762,-0.12428
47.7,47.7,-0.14385,-0.16869,-0.12556
47.8,47.8,-0.14499,-0.16984,-0.12666
47.9,47.9,-0.14613,-0.17105,-0.12762
48,48,-0.14726,-0.17218,-0.12858
48.1,48.1,-0.14838,-0.17335,-0.12968
48.2,48.2,-0.14948,-0.17444,-0.13095
48.3,48.3,-0.15058,-0.17566,-0.132
48.4,48.4,-0.15167,-0.17669,-0.13303
48.5,48.5,-0.15275,-0.17782,-0.13404
48.6,48.6,-0.15382,-0.179,-0.13506
48.7,48.7,-0.15488,-0.18019,-0.13606
48.8,48.8,-0.15592,-0.18139,-0.13694
48.9,48.9,-0.15696,-0.18244,-0.13815
49,49,-0.15799,-0.18329,-0.13934
49.1,49.1,-0.15901,-0.18441,-0.14029
49.2,49.2,-0.16002,-0.18541,-0.14125
49.3,49.3,-0.16102,-0.18646,-0.14226
49.4,49.4,-0.16201,-0.18751,-0.14336
49.5,49.5,-0.16299,-0.18854,-0.14445
49.6,49.6,-0.16396,-0.18955,-0.14553
49.7,49.7,-0.16492,-0.1904,-0.14657
49.8,49.8,-0.16588,-0.19149,-0.14754
49.9,49.9,-0.16682,-0.1925,-0.14843
